Todays Date,Ticker Symbol,1y Target Est,52 Week Range,Ask,Volume,Beta (3Y Monthly),Bid,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Open,PE Ratio (TTM),Previous Close,Quote Price
2019-01-09,,,,,,,,,,,,,,,,,
,nflx,389.85,206.91 - 423.21,320.02 x 800,5276851.0,1.53,319.7800 x 1100,313.50 - 321.27,2.8,"Jan 17, 2019",nan,N/A (N/A),139.366B,317.71,114.04,320.27,320.2699890136719
,amd,23.95,9.04 - 34.14,20.970 x 4000,52213095.0,5.09,20.96 x 1100,20.55 - 21.44,0.309,"Jan 28, 2019 - Feb 1, 2019",1995-04-27,N/A (N/A),21.067B,20.89,68.28,20.75,20.75
,aapl,218.78,142.00 - 233.47,152.75 x 800,20544491.0,1.13,152.71 x 800,149.64 - 153.30,11.91,"Jan 29, 2019",2018-11-08,2.92 (1.87%),726.741B,151.29,12.86,150.75,150.75
,goog,1328.0,"970.11 - 1,273.89","1,074.0100 x 800",411233.0,1.31,"1,072.7100 x 1800","1,066.40 - 1,082.63",26.647,nan,nan,N/A (N/A),749.444B,1081.65,40.32,1076.28,1076.280029296875
2019-01-09,,,,,,,,,,,,,,,,,
,nflx,389.85,206.91 - 423.21,320.47 x 800,5330681.0,1.53,320.23 x 1100,313.50 - 321.27,2.802,"Jan 17, 2019",nan,N/A (N/A),138.967B,317.71,113.73,320.27,320.2699890136719
,amd,23.95,9.04 - 34.14,21.01 x 900,52689068.0,5.09,21.0000 x 4000,20.55 - 21.44,0.31,"Jan 28, 2019 - Feb 1, 2019",1995-04-27,N/A (N/A),21.008B,20.89,68.03,20.75,20.75
,aapl,218.78,142.00 - 233.47,153.08 x 800,20805512.0,1.13,153.08 x 1100,149.64 - 153.30,11.91,"Jan 29, 2019",2018-11-08,2.92 (1.87%),725.239B,151.29,12.83,150.75,150.75
,goog,1328.0,"970.11 - 1,273.89","1,075.500 x 800",418878.0,1.31,"1,074.930 x 1800","1,066.40 - 1,082.63",26.647,nan,nan,N/A (N/A),749.04B,1081.65,40.3,1076.28,1076.280029296875
